Source;Target;Type;Weight
74;956;Undirected;0.21146569101432955
146;835;Undirected;0.211360002650132
625;649;Undirected;0.21065504421343131
41;229;Undirected;0.21015470329573094
658;703;Undirected;0.20997919427504397
356;389;Undirected;0.20987203788296624
63;229;Undirected;0.2096973912746624
38;69;Undirected;0.20964610685502166
141;639;Undirected;0.2089920287249135
795;880;Undirected;0.2089361503456933
151;189;Undirected;0.20835907311364069
639;963;Undirected;0.20817380159829896
834;880;Undirected;0.2076035125387896
2;625;Undirected;0.20746682784966866
420;824;Undirected;0.2071157928601816
333;956;Undirected;0.207075635431854
83;666;Undirected;0.2070688170729968
110;911;Undirected;0.20648937890394006
30;188;Undirected;0.2062792841856416
323;600;Undirected;0.2061586607634197
535;834;Undirected;0.20583137513724686
573;791;Undirected;0.20516642319361514
16;124;Undirected;0.20504384957713515
160;755;Undirected;0.2049831708063221
242;920;Undirected;0.20441460553062926
134;850;Undirected;0.20413524268311925
573;668;Undirected;0.2040980234908848
620;788;Undirected;0.20356264678590552
103;980;Undirected;0.20234611414001094
110;556;Undirected;0.20129434566422885
113;299;Undirected;0.20081138025768205
41;185;Undirected;0.20059030354082127
366;825;Undirected;0.20052551677428376
640;800;Undirected;0.2003575707792508
695;850;Undirected;0.1999619548785368
351;471;Undirected;0.1998881974449347
16;74;Undirected;0.199654870250297
66;929;Undirected;0.19934559806305135
125;800;Undirected;0.1991284164484767
271;495;Undirected;0.19909649436095886
192;751;Undirected;0.19897631938579424
134;918;Undirected;0.1987803399740029
7;880;Undirected;0.19862864310108555
123;421;Undirected;0.1985726326544736
546;580;Undirected;0.1985678765918509
66;896;Undirected;0.1982426202372708
680;956;Undirected;0.1981374326742971
576;831;Undirected;0.19801884351350907
362;677;Undirected;0.19774283108151905
2;279;Undirected;0.1975129661619373
97;921;Undirected;0.19736866148013466
189;911;Undirected;0.19703444049334629
768;791;Undirected;0.19670233970254392
719;831;Undirected;0.1961740244759505
151;479;Undirected;0.1960887015101747
66;351;Undirected;0.1956581421117949
310;648;Undirected;0.19560311766319427
207;607;Undirected;0.1954365886514623
613;716;Undirected;0.1952618810373163
141;860;Undirected;0.1952235083210158
668;791;Undirected;0.1950377677488519
389;396;Undirected;0.1947607805572376
415;798;Undirected;0.19470945128403944
229;415;Undirected;0.19465926092201094
2;795;Undirected;0.1943431797793738
12;919;Undirected;0.194340199545822
95;160;Undirected;0.19381098555870455
17;576;Undirected;0.19346916715407464
475;658;Undirected;0.19338727382657767
603;641;Undirected;0.19314180915968135
151;911;Undirected;0.19310146332169667
433;538;Undirected;0.19279868572500647
39;144;Undirected;0.1926108919654553
632;732;Undirected;0.19251939697798948
483;969;Undirected;0.19250944847123372
197;844;Undirected;0.19220536838792845
120;592;Undirected;0.19209114722503653
271;792;Undirected;0.19196459309676192
497;791;Undirected;0.1919585985817608
95;571;Undirected;0.1919414917094911
12;207;Undirected;0.1916329500174377
352;413;Undirected;0.1913600386021675
203;974;Undirected;0.19114439870839486
613;699;Undirected;0.1904003519336005
515;850;Undirected;0.19023601075980276
123;466;Undirected;0.1901833046787936
